application_id,transaction_id,finv_category,counterparty,classification_engine,stream_id
2420589,2755537647,Information,Google,initial,
2420589,2755537833,Information,Google,initial,
2420589,2755538341,Information,Google,initial,
2420589,2755537798,Home Improvement,BUNNINGS GROUP LIMITED,initial,
2420589,2755537670,Groceries,THIRSTYCAMEL,initial,
2420589,2755538363,Dining Out,Hungry Jacks,initial,
2420589,2755537676,Dining Out,HONG KONG BBQ,initial,
2420589,2755537919,Wages,Main Roads,income,salary_payg_001
2420589,2755538112,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537554,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538185,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537879,Information,Google,initial,
2420589,2755538307,Information,Google,initial,
2420589,2755538247,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537597,Information,Google,initial,
2420589,2755538155,Automotive,Puma York Roadhouse,initial,
2420589,2755537768,Dining Out,CICERELLO S FREMANTL,initial,
2420589,2755538109,Dining Out,Hungry Jacks,initial,
2420589,2755538062,,,,
2420589,2755537574,Information,Google,initial,
2420589,2755537977,Information,Google,initial,
2420589,2755537725,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755537799,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755538333,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537585,Automotive,Puma York Roadhouse,initial,
2420589,2755538258,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537609,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538284,Information,Google,initial,
2420589,2755537984,Overdrawn,Overdrawn Fee,fee,
2420589,2755538347,Groceries,Spud Shed,initial,
2420589,2755537857,Automotive,DUNNINGS NORTHAM NORTHAM,initial,
2420589,2755537908,Automotive,BP,initial,
2420589,2755537818,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537627,Information,Google,initial,
2420589,2755537842,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755538265,SACC Loans,Fundo Loans,liability,sacc_001
2420589,2755538144,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538355,Information,Google,initial,
2420589,2755537674,Information,Google,initial,
2420589,2755537932,Department Stores,KMART AUSTRALIA LIMITED,initial,
2420589,2755537971,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538154,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537763,Groceries,MOORA GROCERY PTY LTD,initial,
2420589,2755537722,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537706,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537671,Automotive,BP,initial,
2420589,2755537993,SACC Loans,Fundo Loans,liability,sacc_001
2420589,2755537985,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538054,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538230,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538268,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538067,Wages,Main Roads,income,salary_payg_001
2420589,2755537831,Information,Google,initial,
2420589,2755537906,Dishonours,-,dishonour,
2420589,2755538328,Overdrawn,Overdrawn Fee,fee,
2420589,2755537982,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538297,Automotive,Puma York Roadhouse,initial,
2420589,2755537871,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537868,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537858,Home Improvement,Bakers Hill Rural,initial,
2420589,2755538366,Automotive,BP,initial,
2420589,2755538126,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538036,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538130,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537649,Automotive,Great Southern Fuels,initial,
2420589,2755537939,Automotive,BP,initial,
2420589,2755537905,Automotive,DUNNINGS GOOMALLING GOOMALLING,initial,
2420589,2755538105,Transport,Australia Post,initial,
2420589,2755537552,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538084,Automotive,Puma York Roadhouse,initial,
2420589,2755537754,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537893,Retail,PURCHASE OFFICEWORKS,initial,
2420589,2755538087,Information,Google,initial,
2420589,2755537822,Information,Google,initial,
2420589,2755537690,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537827,Groceries,Coles,initial,
2420589,2755537713,Information,Google,initial,
2420589,2755537991,Information,Google,initial,
2420589,2755538158,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538145,Automotive,Puma York Roadhouse,initial,
2420589,2755538181,Automotive,Puma York Roadhouse,initial,
2420589,2755538064,Groceries,IGA,initial,
2420589,2755538266,Wages,Main Roads,income,salary_payg_001
2420589,2755537601,Dining Out,HJS UPPER COOMERA UPPER COOMERA,initial,
2420589,2755537703,Information,Google,initial,
2420589,2755538042,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538121,Health,STEWART'S SAVEMOR PH,initial,
2420589,2755538194,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537900,Groceries,Greenway Grocers,initial,
2420589,2755538361,All Other Credits,-,all_other_credit,
2420589,2755537772,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537850,Information,Google,initial,
2420589,2755537895,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538340,Information,Google,initial,
2420589,2755537958,Health,MUNDARING PHARMACY,initial,
2420589,2755537884,Retail,PURCHASE OFFICEWORKS,initial,
2420589,2755537581,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538244,Dining Out,MANDARIN DUCK CANNINGTON,initial,
2420589,2755537572,Automotive,Great Southern Fuels,initial,
2420589,2755537931,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755538293,Health,York Pharmacy,initial,
2420589,2755537862,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755538115,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538187,Overdrawn,Overdrawn Fee,fee,
2420589,2755537973,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537622,,,,
2420589,2755538024,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537710,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755538323,Unknown Loans,Fundo Loans,liability,unknown_002
2420589,2755537881,Information,Google,initial,
2420589,2755537878,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538166,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537918,,,,
2420589,2755538228,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537558,Overdrawn,Overdrawn Fee,fee,
2420589,2755538253,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537996,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537605,Automotive,Puma York Roadhouse,initial,
2420589,2755537796,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537844,Information,Google,initial,
2420589,2755538125,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537756,Automotive,DUNNINGS ROADHOUSE S SOUTHERN CRO,initial,
2420589,2755537570,Health,STEWART'S SAVEMOR PH,initial,
2420589,2755538189,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538222,Automotive,BP,initial,
2420589,2755538001,Information,Google,initial,
2420589,2755537882,Automotive,Great Southern Fuels,initial,
2420589,2755538351,Automotive,DUNNINGS NORTHAM NORTHAM,initial,
2420589,2755537759,Gyms and other memberships,CITY OF MELVILLE BOORAGOON,initial,
2420589,2755537888,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537679,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755537775,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537972,Dishonours,-,dishonour,
2420589,2755537915,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537792,,,,
2420589,2755538025,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537786,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538344,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538260,Overdrawn,Overdrawn Fee,fee,
2420589,2755537812,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755537577,Information,Google,initial,
2420589,2755537615,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755537613,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537942,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538123,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537816,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537859,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537986,,,,
2420589,2755537668,Automotive,BP,initial,
2420589,2755538200,Wages,Main Roads,income,salary_payg_001
2420589,2755538093,Dining Out,HONG KONG BBQ,initial,
2420589,2755537584,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538291,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755538319,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537767,Automotive,AMPOL AUSTRALIA PETROLEUM PTY LTD,initial,
2420589,2755537803,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537912,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537635,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537749,Groceries,MOORA GROCERY PTY LTD,initial,
2420589,2755537867,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537873,Automotive,DUNNINGS NORTHAM NORTHAM,initial,
2420589,2755537594,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537586,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537937,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538346,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755537633,SACC Loans,MoneySpot,liability,sacc_002
2420589,2755538283,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538183,Information,Google,initial,
2420589,2755537907,Dishonours,Beforepay,liability,wage_advance_001
2420589,2755537989,Automotive,Sparklers Midland,initial,
2420589,2755538292,Information,Google,initial,
2420589,2755537824,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538223,Retail,eBay,initial,
2420589,2755538313,Overdrawn,Overdrawn Fee,fee,
2420589,2755537976,Information,Google,initial,
2420589,2755538081,Automotive,Great Southern Fuels,initial,
2420589,2755538046,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537739,Information,Google,initial,
2420589,2755537616,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537658,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538090,Health,Medihire & Sales,initial,
2420589,2755538117,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538161,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538018,Information,Google,initial,
2420589,2755537589,Dining Out,Kondinin Hotel,initial,
2420589,2755537561,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537987,Information,Google,initial,
2420589,2755537929,Information,Google,initial,
2420589,2755538016,Telecommunications,Optus,initial,
2420589,2755538246,Dishonours,-,dishonour,
2420589,2755537769,Home Improvement,BUNNINGS GROUP LIMITED,initial,
2420589,2755538285,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537748,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538349,Non SACC Loans,CBA Loans,liability,contract_loan_001
2420589,2755537723,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538002,Dining Out,HONG KONG BBQ,initial,
2420589,2755537736,Wages,Main Roads,income,salary_payg_001
2420589,2755537925,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537860,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538184,Information,Google,initial,
2420589,2755537821,Automotive,DUNNINGS GOOMALLING GOOMALLING,initial,
2420589,2755538321,Information,Google,initial,
2420589,2755538311,Non SACC Loans,CBA Loans,liability,contract_loan_001
2420589,2755538191,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537904,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537872,Information,Google,initial,
2420589,2755537757,Automotive,DUNNINGS GOOMALLING GOOMALLING,initial,
2420589,2755537560,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537941,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538336,Department Stores,KMART AUSTRALIA LIMITED,initial,
2420589,2755538249,Automotive,BP,initial,
2420589,2755538015,Information,Google,initial,
2420589,2755538135,Information,Google,initial,
2420589,2755537702,Information,Google,initial,
2420589,2755538035,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538303,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538241,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537568,Information,Google,initial,
2420589,2755537687,Information,Google,initial,
2420589,2755538007,Department Stores,KMART AUSTRALIA LIMITED,initial,
2420589,2755538234,Information,Google,initial,
2420589,2755537712,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538150,Information,Google,initial,
2420589,2755537663,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538167,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537604,Information,Google,initial,
2420589,2755537719,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537696,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538143,Wages,Main Roads,income,salary_payg_001
2420589,2755537980,Information,Google,initial,
2420589,2755537652,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538021,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537896,Dishonours,-,dishonour,
2420589,2755538153,Information,Google,initial,
2420589,2755537875,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538138,SACC Loans,Fundo Loans,liability,sacc_001
2420589,2755538190,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537851,Information,Google,initial,
2420589,2755537741,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538069,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538343,Health,ST JOHN SUBIACO,initial,
2420589,2755537940,Pet Care,NORTHAM FEED &,initial,
2420589,2755538296,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538122,Information,Google,initial,
2420589,2755537681,Home Improvement,BUNNINGS GROUP LIMITED,initial,
2420589,2755538263,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538281,Information,Google,initial,
2420589,2755538177,Dishonours,-,dishonour,
2420589,2755538193,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537787,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537839,Overdrawn,Overdrawn Fee,fee,
2420589,2755537902,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537797,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538352,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538316,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537716,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755538279,Health,MUNDARING PHARMACY,initial,
2420589,2755538239,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755537656,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538238,Telecommunications,Optus,initial,
2420589,2755537883,Groceries,MOORA GROCERY PTY LTD,initial,
2420589,2755537580,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537602,Dining Out,THE LAKES,initial,
2420589,2755538041,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537894,Pet Care,PETBARN PTY LIMITED,initial,
2420589,2755538275,Groceries,DUN DIRECT,initial,
2420589,2755537914,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537776,Automotive,Puma York Roadhouse,initial,
2420589,2755537856,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755538103,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755538229,Subscription TV,Netflix,initial,
2420589,2755537800,Health,MIDOC.COM.AU UPPER MOUNT G,initial,
2420589,2755537758,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538026,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537751,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537923,Information,Google,initial,
2420589,2755538075,Information,Google,initial,
2420589,2755538304,Information,Google,initial,
2420589,2755537926,Retail,SPOTIFY GB,initial,
2420589,2755538309,Automotive,Puma York Roadhouse,initial,
2420589,2755537916,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538216,Information,Google,initial,
2420589,2755537621,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755537891,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755538205,Dishonours,CBA Loans,liability,contract_loan_001
2420589,2755538110,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538215,Department Stores,KMART AUSTRALIA LIMITED,initial,
2420589,2755537640,Information,Google,initial,
2420589,2755537928,Information,Google,initial,
2420589,2755538338,Information,Google,initial,
2420589,2755537571,Automotive,Puma York Roadhouse,initial,
2420589,2755537556,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755538287,Overdrawn,Overdrawn Fee,fee,
2420589,2755538131,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538157,Retail,THINGZ,initial,
2420589,2755538133,Health,STEWART'S SAVEMOR PH,initial,
2420589,2755537825,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537913,Dining Out,MCDONALDS,initial,
2420589,2755538068,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537829,Health,STEWART'S SAVEMOR PH,initial,
2420589,2755537744,Information,Google,initial,
2420589,2755537801,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537889,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537546,Information,Google,initial,
2420589,2755538127,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537911,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538207,Information,Google,initial,
2420589,2755537835,Information,Google,initial,
2420589,2755537845,Information,Google,initial,
2420589,2755537935,Information,Google,initial,
2420589,2755537691,Groceries,Quin's Gourmet Butcher,initial,
2420589,2755538231,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537864,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538029,Dining Out,MCDONALDS,initial,
2420589,2755538202,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537811,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537921,Telecommunications,Optus,initial,
2420589,2755537618,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537664,,,,
2420589,2755538119,Information,Google,initial,
2420589,2755537735,Information,Google,initial,
2420589,2755538259,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537861,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537762,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537717,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537661,Non SACC Loans,Credit Corp,liability,loc_001
2420589,2755537870,Information,Google,initial,
2420589,2755538317,Groceries,FRESH TRADING CO OPS,initial,
2420589,2755538147,Automotive,Great Southern Fuels,initial,
2420589,2755537720,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537820,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537562,,,,
2420589,2755537557,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755538277,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755537810,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537608,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755537897,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755537745,Automotive,Great Southern Fuels,initial,
2420589,2755538272,Information,Google,initial,
