engine_id,application_id,transaction_id,finv_category,counterparty,classification_rule_id,classification_reason,stream_id,priority
initial,2420589,2755537827,Groceries,Coles,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=COLES, merchant=Coles",,1
initial,2420589,2755538145,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755538181,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755538064,Groceries,IGA,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=IGA, merchant=IGA",,1
initial,2420589,2755538266,Utilities,Main Roads,merchant_kb_match,"category=Utilities; rule=merchant_kb_match; evidence=keyword=MAIN ROADS, merchant=Main Roads",,1
initial,2420589,2755537601,Dining Out,HJS UPPER COOMERA UPPER COOMERA,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=HJS, merchant=HJS UPPER COOMERA UPPER COOMERA",,1
initial,2420589,2755538042,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538121,Health,STEWART'S SAVEMOR PH,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=STEWART S SAVEMOR PH, merchant=STEWART'S SAVEMOR PH",,1
initial,2420589,2755537900,Groceries,Greenway Grocers,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=GREENWAY GROCERS PTY L WYALKATCHEM, merchant=Greenway Grocers",,1
initial,2420589,2755537958,Groceries,Coles,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=COLES, merchant=Coles",,1
initial,2420589,2755537884,Retail,PURCHASE OFFICEWORKS,merchant_kb_match,"category=Retail; rule=merchant_kb_match; evidence=keyword=OFFICEWORKS, merchant=PURCHASE OFFICEWORKS",,1
initial,2420589,2755537581,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538244,Dining Out,MANDARIN DUCK CANNINGTON,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=MANDARIN DUCK CANNINGTON, merchant=MANDARIN DUCK CANNINGTON",,1
initial,2420589,2755537572,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755538293,Health,York Pharmacy,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=YORK PHARMACY PTY LTD YORK, merchant=York Pharmacy",,1
initial,2420589,2755538115,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538323,Gyms and other memberships,SURRY HILLS,merchant_kb_match,"category=Gyms and other memberships; rule=merchant_kb_match; evidence=keyword=SURRY HILLS, merchant=SURRY HILLS",,1
initial,2420589,2755537878,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755537605,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537756,Automotive,DUNNINGS ROADHOUSE S SOUTHERN CRO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS ROADHOUSE S SOUTHERN CRO, merchant=DUNNINGS ROADHOUSE S SOUTHERN CRO",,1
initial,2420589,2755537570,Health,STEWART'S SAVEMOR PH,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=STEWART S SAVEMOR PH, merchant=STEWART'S SAVEMOR PH",,1
initial,2420589,2755537882,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755538351,Automotive,DUNNINGS NORTHAM NORTHAM,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS NORTHAM NORTHAM, merchant=DUNNINGS NORTHAM NORTHAM",,1
initial,2420589,2755537759,Gyms and other memberships,CITY OF MELVILLE BOORAGOON,merchant_kb_match,"category=Gyms and other memberships; rule=merchant_kb_match; evidence=keyword=CITY OF, merchant=CITY OF MELVILLE BOORAGOON",,1
initial,2420589,2755537679,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755537915,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755537816,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538200,Utilities,Main Roads,merchant_kb_match,"category=Utilities; rule=merchant_kb_match; evidence=keyword=MAIN ROADS, merchant=Main Roads",,1
initial,2420589,2755538093,Dining Out,HONG KONG BBQ,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=HONG KONG BBQ, merchant=HONG KONG BBQ",,1
initial,2420589,2755537584,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538291,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755537803,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537635,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537749,Groceries,MOORA GROCERY PTY LTD,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=MOORA IGA, merchant=MOORA GROCERY PTY LTD",,1
initial,2420589,2755537873,Automotive,DUNNINGS NORTHAM NORTHAM,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS NORTHAM NORTHAM, merchant=DUNNINGS NORTHAM NORTHAM",,1
initial,2420589,2755537586,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538346,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755538283,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537989,Automotive,Sparklers Midland,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=SPARKLERS MIDLAND, merchant=Sparklers Midland",,1
initial,2420589,2755537824,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538081,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755538090,Health,Medihire & Sales,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=MEDIHIRE SALES, merchant=Medihire & Sales",,1
initial,2420589,2755538161,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537589,Dining Out,Kondinin Hotel,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=KONDININ HOTEL KONDININ, merchant=Kondinin Hotel",,1
initial,2420589,2755538016,Telecommunications,OPTUS BILLING SERVICES MACQUARIE PAR,merchant_kb_match,"category=Telecommunications; rule=merchant_kb_match; evidence=keyword=OPTUS BILLING MACQUARIEPARK NS, merchant=OPTUS BILLING SERVICES MACQUARIE PAR",,1
initial,2420589,2755537769,Home Improvement,BUNNINGS GROUP LIMITED,merchant_kb_match,"category=Home Improvement; rule=merchant_kb_match; evidence=keyword=BUNNINGS, merchant=BUNNINGS GROUP LIMITED",,1
initial,2420589,2755537748,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538002,Dining Out,HONG KONG BBQ,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=HONG KONG BBQ, merchant=HONG KONG BBQ",,1
initial,2420589,2755537736,Utilities,Main Roads,merchant_kb_match,"category=Utilities; rule=merchant_kb_match; evidence=keyword=MAIN ROADS, merchant=Main Roads",,1
initial,2420589,2755537925,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537821,Automotive,DUNNINGS GOOMALLING GOOMALLING,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS GOOMALLING GOOMALLING, merchant=DUNNINGS GOOMALLING GOOMALLING",,1
initial,2420589,2755537757,Automotive,DUNNINGS GOOMALLING GOOMALLING,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS GOOMALLING GOOMALLING, merchant=DUNNINGS GOOMALLING GOOMALLING",,1
initial,2420589,2755537560,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755537941,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538336,Department Stores,KMART AUSTRALIA LIMITED,merchant_kb_match,"category=Department Stores; rule=merchant_kb_match; evidence=keyword=KMART, merchant=KMART AUSTRALIA LIMITED",,1
initial,2420589,2755538303,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538241,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538007,Department Stores,KMART AUSTRALIA LIMITED,merchant_kb_match,"category=Department Stores; rule=merchant_kb_match; evidence=keyword=KMART, merchant=KMART AUSTRALIA LIMITED",,1
initial,2420589,2755537719,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537696,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538143,Utilities,Main Roads,merchant_kb_match,"category=Utilities; rule=merchant_kb_match; evidence=keyword=MAIN ROADS, merchant=Main Roads",,1
initial,2420589,2755537652,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537875,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538190,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537741,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538343,Health,ST JOHN SUBIACO,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=ST JOHN SUBIACO, merchant=ST JOHN SUBIACO",,1
initial,2420589,2755537940,Pet Care,NORTHAM FEED &,merchant_kb_match,"category=Pet Care; rule=merchant_kb_match; evidence=keyword=NORTHAM FEED HIRE, merchant=NORTHAM FEED &",,1
initial,2420589,2755538296,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537681,Home Improvement,BUNNINGS GROUP LIMITED,merchant_kb_match,"category=Home Improvement; rule=merchant_kb_match; evidence=keyword=BUNNINGS, merchant=BUNNINGS GROUP LIMITED",,1
initial,2420589,2755538263,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538352,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538279,Dining Out,KFC,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=KFC, merchant=KFC",,1
initial,2420589,2755538239,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755538238,Telecommunications,OPTUS BILLING SERVICES MACQUARIE PAR,merchant_kb_match,"category=Telecommunications; rule=merchant_kb_match; evidence=keyword=OPTUS BILLING MACQUARIEPARK NS, merchant=OPTUS BILLING SERVICES MACQUARIE PAR",,1
initial,2420589,2755537883,Groceries,MOORA GROCERY PTY LTD,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=MOORA IGA, merchant=MOORA GROCERY PTY LTD",,1
initial,2420589,2755537580,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755537602,Dining Out,THE LAKES,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=THE LAKES, merchant=THE LAKES",,1
initial,2420589,2755538275,Groceries,DUN DIRECT,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=DUN DIRECT PTY LTD WONGAN HILLS, merchant=DUN DIRECT",,1
initial,2420589,2755537776,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755538103,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755538229,Subscription TV,Netflix,merchant_kb_match,"category=Subscription TV; rule=merchant_kb_match; evidence=keyword=NETFLIX COM, merchant=Netflix",,1
initial,2420589,2755537758,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537751,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537926,Retail,SPOTIFY GB,merchant_kb_match,"category=Retail; rule=merchant_kb_match; evidence=keyword=SPOTIFY, merchant=SPOTIFY GB",,1
initial,2420589,2755538309,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537916,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537891,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755538215,Department Stores,KMART AUSTRALIA LIMITED,merchant_kb_match,"category=Department Stores; rule=merchant_kb_match; evidence=keyword=KMART, merchant=KMART AUSTRALIA LIMITED",,1
initial,2420589,2755537571,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755538131,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755538157,Retail,THINGZ GIFTS MIDLAND G HIGH WYCOMBE,merchant_kb_match,"category=Retail; rule=merchant_kb_match; evidence=keyword=THINGZ GIFTS NORTHAM, merchant=THINGZ GIFTS MIDLAND G HIGH WYCOMBE",,1
initial,2420589,2755538133,Health,STEWART'S SAVEMOR PH,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=STEWART S SAVEMOR PH, merchant=STEWART'S SAVEMOR PH",,1
initial,2420589,2755537825,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537829,Health,STEWART'S SAVEMOR PH,merchant_kb_match,"category=Health; rule=merchant_kb_match; evidence=keyword=STEWART S SAVEMOR PH, merchant=STEWART'S SAVEMOR PH",,1
initial,2420589,2755537801,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537811,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537921,Telecommunications,OPTUS BILLING SERVICES MACQUARIE PAR,merchant_kb_match,"category=Telecommunications; rule=merchant_kb_match; evidence=keyword=OPTUS BILLING MACQUARIEPARK NS, merchant=OPTUS BILLING SERVICES MACQUARIE PAR",,1
initial,2420589,2755537762,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537717,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755538317,Groceries,FRESH TRADING CO OPS,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=FRESH TRADING CO OPS MALABAINE, merchant=FRESH TRADING CO OPS",,1
